date                             ,driver_number ,gap_to_leader ,interval ,meeting_key ,session_key
2024-06-09 17:08:13.154000+00:00 ,           63 ,0.0           ,0.0      ,       1237 ,       9531
2024-06-09 18:03:21.591000+00:00 ,            1 ,0.315         ,0.315    ,       1237 ,       9531
2024-06-09 18:03:22.064000+00:00 ,            4 ,0.763         ,0.448    ,       1237 ,       9531
2024-06-09 18:03:22.509000+00:00 ,           81 ,1.175         ,0.412    ,       1237 ,       9531
2024-06-09 18:03:22.902000+00:00 ,           14 ,1.521         ,         ,       1237 ,       9531
2024-06-09 18:03:22.913000+00:00 ,            3 ,1.526         ,0.351    ,       1237 ,       9531
2024-06-09 18:03:23.424000+00:00 ,           44 ,2.088         ,0.567    ,       1237 ,       9531
2024-06-09 18:03:23.447000+00:00 ,           18 ,2.149         ,         ,       1237 ,       9531
2024-06-09 18:03:23.904000+00:00 ,           16 ,2.563         ,         ,       1237 ,       9531
2024-06-09 18:03:23.998000+00:00 ,           22 ,2.666         ,0.578    ,       1237 ,       9531
2024-06-09 18:03:24.422000+00:00 ,           23 ,3.058         ,0.909    ,       1237 ,       9531
2024-06-09 18:03:24.447000+00:00 ,           55 ,3.081         ,0.518    ,       1237 ,       9531
2024-06-09 18:03:24.974000+00:00 ,            2 ,3.677         ,0.596    ,       1237 ,       9531
2024-06-09 18:03:25.011000+00:00 ,           20 ,3.695         ,0.018    ,       1237 ,       9531
2024-06-09 18:03:25.450000+00:00 ,           11 ,4.175         ,         ,       1237 ,       9531
2024-06-09 18:03:25.482000+00:00 ,           10 ,4.199         ,0.504    ,       1237 ,       9531
2024-06-09 18:03:25.889000+00:00 ,           27 ,4.625         ,0.45     ,       1237 ,       9531
2024-06-09 18:03:26.180000+00:00 ,           31 ,4.865         ,0.24     ,       1237 ,       9531
2024-06-09 18:03:28.043000+00:00 ,            1 ,0.619         ,0.619    ,       1237 ,       9531
2024-06-09 18:03:28.580000+00:00 ,            4 ,1.119         ,0.5      ,       1237 ,       9531
2024-06-09 18:03:29.076000+00:00 ,           81 ,1.617         ,0.498    ,       1237 ,       9531
2024-06-09 18:03:29.688000+00:00 ,           14 ,2.216         ,         ,       1237 ,       9531
2024-06-09 18:03:29.964000+00:00 ,            3 ,2.484         ,0.268    ,       1237 ,       9531
2024-06-09 18:03:30.374000+00:00 ,           44 ,2.807         ,0.323    ,       1237 ,       9531
2024-06-09 18:03:30.523000+00:00 ,           18 ,2.99          ,         ,       1237 ,       9531
2024-06-09 18:03:31.006000+00:00 ,           22 ,3.522         ,0.532    ,       1237 ,       9531
2024-06-09 18:03:31.038000+00:00 ,           16 ,3.47          ,         ,       1237 ,       9531
2024-06-09 18:03:31.619000+00:00 ,           23 ,4.165         ,0.643    ,       1237 ,       9531
2024-06-09 18:03:31.880000+00:00 ,           55 ,4.355         ,0.19     ,       1237 ,       9531
2024-06-09 18:03:32.390000+00:00 ,           20 ,4.64          ,         ,       1237 ,       9531
2024-06-09 18:03:32.578000+00:00 ,            2 ,4.992         ,0.352    ,       1237 ,       9531
2024-06-09 18:03:32.786000+00:00 ,           10 ,5.243         ,0.251    ,       1237 ,       9531
2024-06-09 18:03:32.942000+00:00 ,           11 ,5.36          ,0.117    ,       1237 ,       9531
2024-06-09 18:03:33.136000+00:00 ,           27 ,5.658         ,0.298    ,       1237 ,       9531
2024-06-09 18:03:33.433000+00:00 ,            1 ,0.63          ,0.63     ,       1237 ,       9531
2024-06-09 18:03:33.520000+00:00 ,           31 ,5.997         ,0.339    ,       1237 ,       9531
2024-06-09 18:03:34.375000+00:00 ,            4 ,1.538         ,0.908    ,       1237 ,       9531
2024-06-09 18:03:35.039000+00:00 ,           81 ,2.29          ,0.752    ,       1237 ,       9531
2024-06-09 18:03:35.381000+00:00 ,           14 ,2.595         ,0.305    ,       1237 ,       9531
2024-06-09 18:03:35.816000+00:00 ,           77 ,8.286         ,2.289    ,       1237 ,       9531
2024-06-09 18:03:35.899000+00:00 ,           44 ,3.111         ,         ,       1237 ,       9531
2024-06-09 18:03:36.194000+00:00 ,            3 ,3.353         ,0.242    ,       1237 ,       9531
2024-06-09 18:03:36.264000+00:00 ,           18 ,3.41          ,0.057    ,       1237 ,       9531
2024-06-09 18:03:36.735000+00:00 ,           16 ,3.9           ,0.49     ,       1237 ,       9531
2024-06-09 18:03:36.856000+00:00 ,           22 ,4.106         ,0.206    ,       1237 ,       9531
2024-06-09 18:03:37.188000+00:00 ,           23 ,4.397         ,0.291    ,       1237 ,       9531
2024-06-09 18:03:37.420000+00:00 ,            1 ,0.773         ,0.773    ,       1237 ,       9531
2024-06-09 18:03:37.524000+00:00 ,           20 ,4.748         ,         ,       1237 ,       9531
2024-06-09 18:03:37.558000+00:00 ,           24 ,10.044        ,1.758    ,       1237 ,       9531
2024-06-09 18:03:38.035000+00:00 ,           55 ,5.199         ,0.451    ,       1237 ,       9531
2024-06-09 18:03:38.097000+00:00 ,            2 ,5.289         ,0.09     ,       1237 ,       9531
2024-06-09 18:03:38.232000+00:00 ,            4 ,1.657         ,0.884    ,       1237 ,       9531
2024-06-09 18:03:38.783000+00:00 ,           27 ,5.967         ,         ,       1237 ,       9531
2024-06-09 18:03:39.351000+00:00 ,           81 ,2.764         ,1.107    ,       1237 ,       9531
2024-06-09 18:03:39.733000+00:00 ,           14 ,3.124         ,0.36     ,       1237 ,       9531
2024-06-09 18:03:40.198000+00:00 ,           31 ,7.458         ,         ,       1237 ,       9531
2024-06-09 18:03:40.392000+00:00 ,           44 ,3.801         ,0.677    ,       1237 ,       9531
2024-06-09 18:03:40.486000+00:00 ,           10 ,7.716         ,0.258    ,       1237 ,       9531
2024-06-09 18:03:40.694000+00:00 ,            3 ,4.105         ,0.304    ,       1237 ,       9531
2024-06-09 18:03:41.039000+00:00 ,           18 ,4.45          ,0.345    ,       1237 ,       9531
2024-06-09 18:03:41.435000+00:00 ,           16 ,4.853         ,0.403    ,       1237 ,       9531
2024-06-09 18:03:41.681000+00:00 ,           11 ,8.899         ,1.183    ,       1237 ,       9531
2024-06-09 18:03:41.918000+00:00 ,           22 ,5.293         ,0.44     ,       1237 ,       9531
2024-06-09 18:03:42.001000+00:00 ,           77 ,9.256         ,0.357    ,       1237 ,       9531
2024-06-09 18:03:42.329000+00:00 ,           23 ,5.646         ,0.353    ,       1237 ,       9531
2024-06-09 18:03:42.449000+00:00 ,            1 ,0.808         ,0.808    ,       1237 ,       9531
2024-06-09 18:03:42.449000+00:00 ,           20 ,5.897         ,0.251    ,       1237 ,       9531
2024-06-09 18:03:42.846000+00:00 ,           55 ,6.317         ,0.42     ,       1237 ,       9531
2024-06-09 18:03:43.324000+00:00 ,            2 ,6.696         ,0.379    ,       1237 ,       9531
2024-06-09 18:03:43.324000+00:00 ,            4 ,1.645         ,0.837    ,       1237 ,       9531
2024-06-09 18:03:43.437000+00:00 ,           24 ,10.693        ,1.437    ,       1237 ,       9531
2024-06-09 18:03:43.696000+00:00 ,           27 ,7.116         ,0.42     ,       1237 ,       9531
2024-06-09 18:03:44.376000+00:00 ,           81 ,2.671         ,1.026    ,       1237 ,       9531
2024-06-09 18:03:44.856000+00:00 ,           14 ,3.185         ,0.514    ,       1237 ,       9531
2024-06-09 18:03:44.893000+00:00 ,           31 ,8.297         ,1.181    ,       1237 ,       9531
2024-06-09 18:03:45.386000+00:00 ,           10 ,8.785         ,0.488    ,       1237 ,       9531
2024-06-09 18:03:45.567000+00:00 ,           44 ,3.863         ,0.678    ,       1237 ,       9531
2024-06-09 18:03:46.044000+00:00 ,            3 ,4.392         ,0.529    ,       1237 ,       9531
2024-06-09 18:03:46.470000+00:00 ,           18 ,4.806         ,0.414    ,       1237 ,       9531
2024-06-09 18:03:46.619000+00:00 ,           11 ,9.986         ,1.201    ,       1237 ,       9531
2024-06-09 18:03:46.710000+00:00 ,            1 ,1.039         ,1.039    ,       1237 ,       9531
2024-06-09 18:03:46.850000+00:00 ,           16 ,5.151         ,0.345    ,       1237 ,       9531
2024-06-09 18:03:46.933000+00:00 ,           77 ,10.319        ,0.333    ,       1237 ,       9531
2024-06-09 18:03:47.396000+00:00 ,           22 ,5.719         ,0.568    ,       1237 ,       9531
2024-06-09 18:03:47.488000+00:00 ,            4 ,1.783         ,0.744    ,       1237 ,       9531
2024-06-09 18:03:47.844000+00:00 ,           23 ,6.191         ,0.472    ,       1237 ,       9531
2024-06-09 18:03:48.126000+00:00 ,           20 ,6.462         ,0.271    ,       1237 ,       9531
2024-06-09 18:03:48.161000+00:00 ,           24 ,11.581        ,1.262    ,       1237 ,       9531
2024-06-09 18:03:48.592000+00:00 ,           55 ,6.92          ,0.458    ,       1237 ,       9531
2024-06-09 18:03:48.592000+00:00 ,           81 ,2.895         ,1.112    ,       1237 ,       9531
2024-06-09 18:03:48.954000+00:00 ,            2 ,7.298         ,0.378    ,       1237 ,       9531
2024-06-09 18:03:49.095000+00:00 ,           14 ,3.465         ,0.57     ,       1237 ,       9531
2024-06-09 18:03:49.332000+00:00 ,           27 ,7.646         ,0.348    ,       1237 ,       9531
2024-06-09 18:03:49.722000+00:00 ,           44 ,4.062         ,0.597    ,       1237 ,       9531
2024-06-09 18:03:50.326000+00:00 ,           31 ,8.628         ,0.982    ,       1237 ,       9531
2024-06-09 18:03:50.425000+00:00 ,            3 ,4.723         ,0.661    ,       1237 ,       9531
2024-06-09 18:03:50.681000+00:00 ,           10 ,9.024         ,0.396    ,       1237 ,       9531
2024-06-09 18:03:50.875000+00:00 ,           18 ,5.199         ,0.476    ,       1237 ,       9531
2024-06-09 18:03:51.232000+00:00 ,           16 ,5.561         ,0.362    ,       1237 ,       9531
2024-06-09 18:03:51.677000+00:00 ,           22 ,6.004         ,0.443    ,       1237 ,       9531
2024-06-09 18:03:51.836000+00:00 ,           11 ,10.181        ,1.157    ,       1237 ,       9531
2024-06-09 18:03:52.207000+00:00 ,           23 ,6.55          ,0.546    ,       1237 ,       9531
2024-06-09 18:03:52.478000+00:00 ,           77 ,10.771        ,0.59     ,       1237 ,       9531
2024-06-09 18:03:52.480000+00:00 ,           20 ,6.79          ,0.24     ,       1237 ,       9531
2024-06-09 18:03:53.105000+00:00 ,           55 ,7.393         ,0.603    ,       1237 ,       9531
2024-06-09 18:03:53.482000+00:00 ,            1 ,1.215         ,1.215    ,       1237 ,       9531
2024-06-09 18:03:53.685000+00:00 ,            2 ,7.907         ,0.514    ,       1237 ,       9531
2024-06-09 18:03:53.751000+00:00 ,           24 ,11.995        ,1.224    ,       1237 ,       9531
2024-06-09 18:03:53.973000+00:00 ,           27 ,8.264         ,0.357    ,       1237 ,       9531
2024-06-09 18:03:54.207000+00:00 ,            4 ,1.984         ,0.769    ,       1237 ,       9531
2024-06-09 18:03:54.604000+00:00 ,           31 ,8.949         ,0.685    ,       1237 ,       9531
2024-06-09 18:03:55.211000+00:00 ,           10 ,9.528         ,0.579    ,       1237 ,       9531
2024-06-09 18:03:55.760000+00:00 ,           81 ,3.471         ,1.487    ,       1237 ,       9531
2024-06-09 18:03:56.025000+00:00 ,           11 ,10.341        ,0.813    ,       1237 ,       9531
2024-06-09 18:03:56.445000+00:00 ,           14 ,4.153         ,0.682    ,       1237 ,       9531
2024-06-09 18:03:56.841000+00:00 ,           77 ,11.215        ,0.874    ,       1237 ,       9531
2024-06-09 18:03:57.185000+00:00 ,           44 ,4.875         ,0.722    ,       1237 ,       9531
2024-06-09 18:03:57.546000+00:00 ,            3 ,5.312         ,0.437    ,       1237 ,       9531
2024-06-09 18:03:58.154000+00:00 ,           18 ,5.917         ,0.605    ,       1237 ,       9531
2024-06-09 18:03:58.154000+00:00 ,           24 ,12.505        ,1.29     ,       1237 ,       9531
2024-06-09 18:03:58.544000+00:00 ,           16 ,6.314         ,0.397    ,       1237 ,       9531
2024-06-09 18:03:58.632000+00:00 ,            1 ,0.992         ,0.992    ,       1237 ,       9531
2024-06-09 18:03:59.168000+00:00 ,           22 ,6.89          ,0.576    ,       1237 ,       9531
2024-06-09 18:03:59.663000+00:00 ,            4 ,1.985         ,0.993    ,       1237 ,       9531
2024-06-09 18:03:59.680000+00:00 ,           23 ,7.399         ,0.509    ,       1237 ,       9531
2024-06-09 18:03:59.848000+00:00 ,           20 ,7.607         ,0.208    ,       1237 ,       9531
2024-06-09 18:04:00.491000+00:00 ,           55 ,8.25          ,0.643    ,       1237 ,       9531
2024-06-09 18:04:01.013000+00:00 ,           81 ,3.317         ,1.332    ,       1237 ,       9531
2024-06-09 18:04:01.148000+00:00 ,            2 ,8.819         ,0.569    ,       1237 ,       9531
2024-06-09 18:04:01.469000+00:00 ,           27 ,9.212         ,0.393    ,       1237 ,       9531
2024-06-09 18:04:01.799000+00:00 ,           14 ,4.142         ,0.825    ,       1237 ,       9531
2024-06-09 18:04:02.045000+00:00 ,           31 ,9.866         ,0.654    ,       1237 ,       9531
2024-06-09 18:04:02.576000+00:00 ,           44 ,4.839         ,0.697    ,       1237 ,       9531
2024-06-09 18:04:02.701000+00:00 ,           10 ,10.467        ,0.601    ,       1237 ,       9531
