date_start                       ,driver_number ,duration_sector_1 ,duration_sector_2 ,duration_sector_3 ,i1_speed ,i2_speed ,is_pit_out_lap ,lap_duration ,lap_number ,meeting_key ,segments_sector_1                      ,segments_sector_2                      ,segments_sector_3                            ,session_key ,st_speed
                                 ,            1 ,                  ,           31.826 ,           37.685 ,     178 ,     264 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2048, 2049, 2049, 2048, 2048, 2048, 2049]" ,       9531 ,     298
                                 ,            2 ,                  ,           34.477 ,           40.822 ,     168 ,     223 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2048, 2051, 2049, 2049, 0]"    ,       9531 ,     254
                                 ,            3 ,                  ,           33.322 ,           38.826 ,     181 ,     255 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2048, 2049, 2049, 2049, 2049]" ,       9531 ,     300
                                 ,            4 ,                  ,           32.418 ,           38.085 ,     180 ,     262 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2051, 2049, 2049]" ,"[2048, 2049, 2049, 2049, 2049, 2049, 2049]" ,       9531 ,     295
                                 ,           10 ,                  ,           34.159 ,           42.473 ,     163 ,     227 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]" ,       9531 ,     191
                                 ,           11 ,                  ,           33.681 ,           41.602 ,     181 ,     241 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049, 2049]" ,       9531 ,     203
                                 ,           14 ,                  ,           32.999 ,           38.369 ,     175 ,     263 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2048, 2049, 2048, 2048, 2049]" ,       9531 ,     301
                                 ,           16 ,                  ,           33.935 ,           40.442 ,     169 ,     264 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2048, 2049, 2048, 2049, 2049]" ,       9531 ,     276
                                 ,           18 ,                  ,           33.657 ,           39.761 ,     172 ,     257 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2048, 2049, 2049, 2049, 2049, 2049]" ,       9531 ,     297
                                 ,           20 ,                  ,           32.909 ,           37.664 ,     172 ,     261 ,False          ,             ,         1 ,       1237 ,"[2049, 2049, 2049, 2049, 2049, 2049]" ,"[2049, 2049, 2051, 2049, 2049, 2049]" ,"[2049, 2049, 2051, 2049, 2048, 2048, 2051]" ,       9531 ,     292
