category  ,date                      ,driver_number ,flag            ,lap_number ,meeting_key ,message                                                                                                                                                           ,scope  ,sector ,session_key
Other     ,2024-06-09 17:07:10+00:00 ,              ,                ,           ,       1237 ,PINK HEAD PADDING MATERIAL MUST BE USED                                                                                                                           ,       ,       ,       9531
Flag      ,2024-06-09 17:20:01+00:00 ,              ,GREEN           ,         1 ,       1237 ,GREEN LIGHT - PIT EXIT OPEN                                                                                                                                       ,Track  ,       ,       9531
Other     ,2024-06-09 17:20:11+00:00 ,              ,                ,         1 ,       1237 ,LOW GRIP CONDITIONS                                                                                                                                               ,       ,       ,       9531
Other     ,2024-06-09 17:30:01+00:00 ,              ,                ,         1 ,       1237 ,PIT EXIT CLOSED                                                                                                                                                   ,       ,       ,       9531
Other     ,2024-06-09 17:45:09+00:00 ,              ,                ,         1 ,       1237 ,RISK OF RAIN FOR F1 RACE IS 100%                                                                                                                                  ,       ,       ,       9531
Drs       ,2024-06-09 17:57:05+00:00 ,              ,                ,         1 ,       1237 ,DRS DISABLED                                                                                                                                                      ,       ,       ,       9531
Flag      ,2024-06-09 18:03:12+00:00 ,              ,GREEN           ,         1 ,       1237 ,GREEN LIGHT - PIT EXIT OPEN                                                                                                                                       ,Track  ,       ,       9531
Flag      ,2024-06-09 18:03:36+00:00 ,              ,YELLOW          ,         1 ,       1237 ,YELLOW IN TRACK SECTOR 2                                                                                                                                          ,Sector ,     2 ,       9531
Flag      ,2024-06-09 18:03:38+00:00 ,              ,CLEAR           ,         1 ,       1237 ,CLEAR IN TRACK SECTOR 2                                                                                                                                           ,Sector ,     2 ,       9531
Other     ,2024-06-09 18:04:03+00:00 ,              ,                ,         1 ,       1237 ,TRACK SURFACE SLIPPERY IN TRACK SECTOR 2                                                                                                                          ,       ,       ,       9531
Flag      ,2024-06-09 18:05:38+00:00 ,              ,CLEAR           ,         2 ,       1237 ,CLEAR IN TRACK SECTOR 2                                                                                                                                           ,Sector ,     2 ,       9531
Other     ,2024-06-09 18:06:00+00:00 ,              ,                ,         2 ,       1237 ,TURN 2 INCIDENT INVOLVING CARS 10 (GAS) AND 11 (PER) NOTED - CAUSING A COLLISION                                                                                  ,       ,       ,       9531
Other     ,2024-06-09 18:06:14+00:00 ,              ,                ,         2 ,       1237 ,CAR 16 (LEC) LAP DELETED - TRACK LIMITS AT TURN 14 LAP 1 14:04:57                                                                                                 ,       ,       ,       9531
Other     ,2024-06-09 18:07:21+00:00 ,              ,                ,         3 ,       1237 ,CAR 63 (RUS) TIME 1:36.556 DELETED - TRACK LIMITS AT TURN 14 LAP 2 14:06:24                                                                                       ,       ,       ,       9531
Other     ,2024-06-09 18:08:01+00:00 ,              ,                ,         3 ,       1237 ,FIA STEWARDS: TURN 2 INCIDENT INVOLVING CARS 10 (GAS) AND 11 (PER) REVIEWED NO FURTHER INVESTIGATION - CAUSING A COLLISION                                        ,       ,       ,       9531
Other     ,2024-06-09 18:09:16+00:00 ,              ,                ,         4 ,       1237 ,CAR 2 (SAR) TIME 1:41.749 DELETED - TRACK LIMITS AT TURN 14 LAP 3 14:08:23                                                                                        ,       ,       ,       9531
Flag      ,2024-06-09 18:12:26+00:00 ,              ,YELLOW          ,         6 ,       1237 ,YELLOW IN TRACK SECTOR 6                                                                                                                                          ,Sector ,     6 ,       9531
Other     ,2024-06-09 18:12:30+00:00 ,              ,                ,         6 ,       1237 ,CAR 2 (SAR) TIME 1:38.360 DELETED - TRACK LIMITS AT TURN 2 LAP 5 14:10:19                                                                                         ,       ,       ,       9531
Flag      ,2024-06-09 18:12:47+00:00 ,              ,CLEAR           ,         6 ,       1237 ,CLEAR IN TRACK SECTOR 6                                                                                                                                           ,Sector ,     6 ,       9531
