date,driver_number,meeting_key,position,session_key
2024-06-09 17:06:20.107000+00:00,1,1237,2,9531
2024-06-09 17:06:20.107000+00:00,2,1237,13,9531
2024-06-09 17:06:20.107000+00:00,3,1237,5,9531
2024-06-09 17:06:20.107000+00:00,4,1237,3,9531
2024-06-09 17:06:20.107000+00:00,10,1237,15,9531
2024-06-09 17:06:20.107000+00:00,11,1237,16,9531
2024-06-09 17:06:20.107000+00:00,14,1237,6,9531
2024-06-09 17:06:20.107000+00:00,16,1237,11,9531
2024-06-09 17:06:20.107000+00:00,18,1237,9,9531
2024-06-09 17:06:20.107000+00:00,20,1237,14,9531
2024-06-09 17:06:20.107000+00:00,22,1237,8,9531
2024-06-09 17:06:20.107000+00:00,23,1237,10,9531
2024-06-09 17:06:20.107000+00:00,24,1237,19,9531
2024-06-09 17:06:20.107000+00:00,27,1237,18,9531
2024-06-09 17:06:20.107000+00:00,31,1237,20,9531
2024-06-09 17:06:20.107000+00:00,44,1237,7,9531
2024-06-09 17:06:20.107000+00:00,55,1237,12,9531
2024-06-09 17:06:20.107000+00:00,63,1237,1,9531
2024-06-09 17:06:20.107000+00:00,77,1237,17,9531
2024-06-09 17:06:20.107000+00:00,81,1237,4,9531
2024-06-09 17:06:42.747000+00:00,24,1237,20,9531
2024-06-09 17:06:42.747000+00:00,27,1237,17,9531
2024-06-09 17:06:42.747000+00:00,31,1237,18,9531
2024-06-09 17:06:42.747000+00:00,77,1237,19,9531
2024-06-09 18:03:49.851000+00:00,3,1237,6,9531
2024-06-09 18:03:49.851000+00:00,14,1237,5,9531
2024-06-09 18:03:50.461000+00:00,3,1237,7,9531
2024-06-09 18:03:50.461000+00:00,44,1237,6,9531
2024-06-09 18:03:51.574000+00:00,18,1237,8,9531
2024-06-09 18:03:51.574000+00:00,22,1237,9,9531
2024-06-09 18:03:52.006000+00:00,16,1237,9,9531
2024-06-09 18:03:52.006000+00:00,22,1237,10,9531
2024-06-09 18:03:52.006000+00:00,23,1237,11,9531
2024-06-09 18:03:53.304000+00:00,2,1237,14,9531
2024-06-09 18:03:53.304000+00:00,20,1237,12,9531
2024-06-09 18:03:53.304000+00:00,55,1237,13,9531
2024-06-09 18:03:54.671000+00:00,10,1237,16,9531
2024-06-09 18:03:54.671000+00:00,11,1237,17,9531
2024-06-09 18:03:54.671000+00:00,27,1237,15,9531
2024-06-09 18:03:55.564000+00:00,10,1237,17,9531
2024-06-09 18:03:55.564000+00:00,11,1237,18,9531
2024-06-09 18:03:55.564000+00:00,31,1237,16,9531
2024-06-09 18:05:03.837000+00:00,16,1237,10,9531
2024-06-09 18:05:03.837000+00:00,18,1237,9,9531
2024-06-09 18:05:03.837000+00:00,20,1237,8,9531
2024-06-09 18:05:03.837000+00:00,22,1237,11,9531
2024-06-09 18:05:03.837000+00:00,23,1237,12,9531
2024-06-09 18:05:08.159000+00:00,2,1237,15,9531
2024-06-09 18:05:08.159000+00:00,27,1237,13,9531
2024-06-09 18:05:08.159000+00:00,55,1237,14,9531
2024-06-09 18:05:12.048000+00:00,10,1237,18,9531
2024-06-09 18:05:12.048000+00:00,11,1237,17,9531
2024-06-09 18:06:40.619000+00:00,3,1237,8,9531
2024-06-09 18:06:40.619000+00:00,14,1237,6,9531
2024-06-09 18:06:40.619000+00:00,20,1237,5,9531
2024-06-09 18:06:40.619000+00:00,44,1237,7,9531
2024-06-09 18:06:46.782000+00:00,16,1237,11,9531
2024-06-09 18:06:46.782000+00:00,22,1237,12,9531
2024-06-09 18:06:46.782000+00:00,23,1237,13,9531
2024-06-09 18:06:46.782000+00:00,27,1237,10,9531
2024-06-09 18:06:51.163000+00:00,2,1237,14,9531
2024-06-09 18:06:51.163000+00:00,55,1237,15,9531
2024-06-09 18:08:16.753000+00:00,20,1237,4,9531
2024-06-09 18:08:16.753000+00:00,81,1237,5,9531
2024-06-09 18:08:23.455000+00:00,3,1237,9,9531
2024-06-09 18:08:23.455000+00:00,18,1237,10,9531
2024-06-09 18:08:23.455000+00:00,27,1237,8,9531
2024-06-09 18:08:32.694000+00:00,2,1237,15,9531
2024-06-09 18:08:32.694000+00:00,55,1237,14,9531
2024-06-09 18:13:28.846000+00:00,2,1237,16,9531
2024-06-09 18:13:28.846000+00:00,31,1237,15,9531
2024-06-09 18:13:29.247000+00:00,2,1237,17,9531
2024-06-09 18:13:29.247000+00:00,11,1237,16,9531
2024-06-09 18:13:30.568000+00:00,2,1237,18,9531
2024-06-09 18:13:30.568000+00:00,10,1237,17,9531
2024-06-09 18:13:31.895000+00:00,2,1237,19,9531
2024-06-09 18:13:31.895000+00:00,77,1237,18,9531
2024-06-09 18:13:36.214000+00:00,2,1237,20,9531
2024-06-09 18:13:36.214000+00:00,24,1237,19,9531
2024-06-09 18:14:36.670000+00:00,20,1237,5,9531
2024-06-09 18:14:36.670000+00:00,81,1237,4,9531
2024-06-09 18:14:44.515000+00:00,14,1237,5,9531
2024-06-09 18:14:44.515000+00:00,20,1237,6,9531
2024-06-09 18:14:45.256000+00:00,20,1237,7,9531
2024-06-09 18:14:45.256000+00:00,44,1237,6,9531
2024-06-09 18:14:47.034000+00:00,20,1237,8,9531
2024-06-09 18:14:47.034000+00:00,27,1237,7,9531
2024-06-09 18:14:51.040000+00:00,3,1237,8,9531
2024-06-09 18:14:51.040000+00:00,20,1237,9,9531
2024-06-09 18:14:51.363000+00:00,18,1237,9,9531
2024-06-09 18:14:51.363000+00:00,20,1237,10,9531
2024-06-09 18:14:52.825000+00:00,16,1237,10,9531
2024-06-09 18:14:52.825000+00:00,20,1237,11,9531
2024-06-09 18:14:53.764000+00:00,20,1237,12,9531
2024-06-09 18:14:53.764000+00:00,22,1237,11,9531
2024-06-09 18:16:29.543000+00:00,20,1237,13,9531
2024-06-09 18:16:29.543000+00:00,23,1237,12,9531
2024-06-09 18:16:30.385000+00:00,20,1237,14,9531
2024-06-09 18:16:30.385000+00:00,55,1237,13,9531
2024-06-09 18:21:03.839000+00:00,3,1237,7,9531
2024-06-09 18:21:03.839000+00:00,27,1237,8,9531
2024-06-09 18:22:36.049000+00:00,18,1237,8,9531
2024-06-09 18:22:36.049000+00:00,27,1237,9,9531
2024-06-09 18:22:38.750000+00:00,16,1237,9,9531
2024-06-09 18:22:38.750000+00:00,27,1237,10,9531
2024-06-09 18:22:39.689000+00:00,22,1237,10,9531
2024-06-09 18:22:39.689000+00:00,27,1237,11,9531
2024-06-09 18:22:40.264000+00:00,23,1237,11,9531
2024-06-09 18:22:40.264000+00:00,27,1237,12,9531
2024-06-09 18:22:40.811000+00:00,27,1237,13,9531
2024-06-09 18:22:40.811000+00:00,55,1237,12,9531
2024-06-09 18:22:41.670000+00:00,20,1237,13,9531
2024-06-09 18:22:41.670000+00:00,27,1237,14,9531
2024-06-09 18:22:43.066000+00:00,27,1237,15,9531
2024-06-09 18:22:43.066000+00:00,31,1237,14,9531
2024-06-09 18:22:44.213000+00:00,11,1237,15,9531
2024-06-09 18:22:44.213000+00:00,27,1237,16,9531
2024-06-09 18:22:45.250000+00:00,10,1237,16,9531
2024-06-09 18:22:45.250000+00:00,27,1237,17,9531
2024-06-09 18:22:47.788000+00:00,27,1237,18,9531
2024-06-09 18:22:47.788000+00:00,77,1237,17,9531
2024-06-09 18:22:54.227000+00:00,24,1237,18,9531
2024-06-09 18:22:54.227000+00:00,27,1237,19,9531
2024-06-09 18:32:59.358000+00:00,22,1237,11,9531
2024-06-09 18:32:59.358000+00:00,23,1237,10,9531
2024-06-09 18:33:34.161000+00:00,1,1237,3,9531
2024-06-09 18:33:34.161000+00:00,4,1237,2,9531
2024-06-09 18:34:26.100000+00:00,16,1237,10,9531
2024-06-09 18:34:26.100000+00:00,23,1237,9,9531
2024-06-09 18:34:49.288000+00:00,24,1237,19,9531
