air_temperature ,date                             ,humidity ,meeting_key ,pressure ,rainfall ,session_key ,track_temperature ,wind_direction ,wind_speed
           15.9 ,2024-06-09 17:07:12.416000+00:00 ,    82.0 ,       1237 ,   997.1 ,       1 ,       9531 ,             20.4 ,            68 ,       0.7
           16.0 ,2024-06-09 17:08:12.410000+00:00 ,    82.0 ,       1237 ,   996.9 ,       1 ,       9531 ,             20.4 ,           110 ,       0.9
           15.9 ,2024-06-09 17:09:12.405000+00:00 ,    82.0 ,       1237 ,   997.0 ,       1 ,       9531 ,             20.2 ,           275 ,       1.1
           15.8 ,2024-06-09 17:10:12.410000+00:00 ,    82.0 ,       1237 ,   997.0 ,       1 ,       9531 ,             20.0 ,           283 ,       0.8
           15.8 ,2024-06-09 17:11:12.411000+00:00 ,    83.0 ,       1237 ,   996.9 ,       1 ,       9531 ,             20.0 ,           208 ,       1.0
           15.8 ,2024-06-09 17:12:12.405000+00:00 ,    83.0 ,       1237 ,   997.0 ,       1 ,       9531 ,             20.0 ,           204 ,       1.2
           15.7 ,2024-06-09 17:13:12.410000+00:00 ,    83.0 ,       1237 ,   997.0 ,       1 ,       9531 ,             19.9 ,           114 ,       1.4
           15.6 ,2024-06-09 17:14:12.407000+00:00 ,    83.0 ,       1237 ,   996.9 ,       1 ,       9531 ,             19.6 ,           187 ,       1.4
           15.6 ,2024-06-09 17:15:12.414000+00:00 ,    83.0 ,       1237 ,   996.8 ,       1 ,       9531 ,             19.6 ,           196 ,       2.3
           15.6 ,2024-06-09 17:16:12.418000+00:00 ,    84.0 ,       1237 ,   996.8 ,       1 ,       9531 ,             19.5 ,           153 ,       2.0
           15.6 ,2024-06-09 17:17:12.414000+00:00 ,    84.0 ,       1237 ,   996.8 ,       1 ,       9531 ,             19.5 ,           219 ,       2.1
           15.5 ,2024-06-09 17:18:12.414000+00:00 ,    83.0 ,       1237 ,   996.7 ,       1 ,       9531 ,             19.5 ,           198 ,       2.1
           15.4 ,2024-06-09 17:19:12.418000+00:00 ,    82.0 ,       1237 ,   996.7 ,       1 ,       9531 ,             19.4 ,           195 ,       2.7
           15.4 ,2024-06-09 17:20:12.428000+00:00 ,    81.0 ,       1237 ,   996.7 ,       0 ,       9531 ,             19.3 ,           246 ,       2.2
           15.4 ,2024-06-09 17:21:12.424000+00:00 ,    81.0 ,       1237 ,   996.7 ,       0 ,       9531 ,             19.2 ,           273 ,       1.6
           15.3 ,2024-06-09 17:22:12.453000+00:00 ,    81.0 ,       1237 ,   996.6 ,       0 ,       9531 ,             19.2 ,           152 ,       1.5
           15.3 ,2024-06-09 17:23:12.471000+00:00 ,    81.0 ,       1237 ,   996.7 ,       0 ,       9531 ,             19.4 ,           112 ,       2.0
           15.2 ,2024-06-09 17:24:12.468000+00:00 ,    81.0 ,       1237 ,   996.6 ,       0 ,       9531 ,             19.5 ,           217 ,       1.2
           15.3 ,2024-06-09 17:25:12.471000+00:00 ,    81.0 ,       1237 ,   996.6 ,       0 ,       9531 ,             19.6 ,           334 ,       1.3
